EmployeeNumber,EmployeeID,MonthlyIncome,OverTime,PercentSalaryHike,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,Department,JobLevel,JobRole,Attrition,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,BusinessTravel,Age,Gender,MaritalStatus,Education,EducationField,DistanceFromHome,EmployeeNumber,EmployeeID,PerformanceRating
420,10650,"$5,484",No,14%,3,13,8,4,8,13,1,Sales,2,Sales Executive,No,4,3,2,Travel_Rarely,32,Male,Married,3,Life Sciences,7,420,10650,3
1814,10651,"$6,870",No,12%,3,3,2,1,2,11,3,Research & Development,2,Healthcare Representative,No,2,2,1,Travel_Rarely,41,Male,Single,3,Life Sciences,5,1814,10651,3
934,10652,"$2,008",No,14%,3,1,0,1,0,1,1,Research & Development,1,Laboratory Technician,No,2,2,3,Travel_Rarely,34,Male,Divorced,3,Life Sciences,10,934,10652,3
475,10653,"$4,736",Yes,12%,2,2,2,2,2,4,7,Sales,2,Sales Executive,No,4,3,4,Non-Travel,30,Female,Married,2,Technical Degree,25,475,10653,3
1986,10654,"$5,677",No,14%,4,11,8,5,10,15,3,Sales,2,Sales Executive,No,2,2,3,Travel_Rarely,40,Female,Married,2,Marketing,2,1986,10654,3
1127,10655,"$12,169",No,11%,4,18,7,11,5,21,7,Research & Development,4,Healthcare Representative,Yes,1,4,3,Travel_Frequently,39,Male,Divorced,3,Life Sciences,2,1127,10655,3
1126,10656,"$10,820",No,11%,1,8,7,0,1,18,8,Research & Development,3,Manufacturing Director,No,3,1,3,Travel_Frequently,43,Female,Married,3,Life Sciences,27,1126,10656,3
1242,10657,"$13,191",Yes,17%,6,1,0,0,0,20,3,Research & Development,3,Research Director,No,1,1,3,Travel_Frequently,42,Female,Married,5,Medical,26,1242,10657,3
104,10658,"$5,126",Yes,12%,1,10,8,3,0,10,1,Research & Development,2,Laboratory Technician,No,4,4,2,Travel_Rarely,30,Male,Married,1,Life Sciences,1,104,10658,3
1082,10659,"$8,722",No,12%,2,10,7,1,9,10,1,Research & Development,3,Healthcare Representative,Yes,2,1,2,Non-Travel,28,Male,Single,2,Technical Degree,24,1082,10659,3
677,10660,"$7,104",No,12%,3,5,0,1,2,6,0,Sales,2,Sales Executive,No,3,3,3,Travel_Rarely,33,Male,Divorced,4,Marketing,8,677,10660,3
347,10661,"$6,545",Yes,13%,1,3,2,0,2,10,3,Research & Development,2,Research Scientist,No,4,1,3,Travel_Rarely,42,Female,Single,2,Life Sciences,17,347,10661,3
406,10662,"$8,020",No,15%,3,11,9,6,9,12,0,Sales,3,Sales Executive,No,3,2,2,Travel_Rarely,35,Male,Married,3,Marketing,16,406,10662,3
922,10663,"$2,044",No,13%,3,2,2,0,2,2,1,Sales,1,Sales Representative,Yes,3,3,2,Travel_Rarely,20,Female,Single,3,Medical,2,922,10663,3
1655,10664,"$16,413",No,16%,2,4,2,1,2,27,3,Research & Development,4,Research Director,No,1,2,3,Travel_Rarely,49,Female,Married,4,Other,22,1655,10664,3
612,10665,"$16,184",No,19%,2,6,1,0,5,10,4,Research & Development,4,Research Director,No,1,3,3,Travel_Rarely,33,Female,Divorced,5,Medical,1,612,10665,3
630,10666,"$5,577",Yes,12%,3,10,9,6,9,18,3,Research & Development,2,Research Scientist,No,4,1,3,Travel_Rarely,52,Male,Divorced,2,Technical Degree,6,630,10666,3
1120,10667,"$2,514",No,22%,1,7,5,1,7,11,4,Research & Development,1,Research Scientist,No,3,4,3,Travel_Rarely,29,Female,Divorced,4,Life Sciences,28,1120,10667,4
747,10668,"$5,304",No,23%,2,8,7,7,7,10,7,Sales,2,Sales Executive,No,3,4,2,Travel_Rarely,30,Male,Divorced,5,Marketing,27,747,10668,4
1934,10669,"$5,467",No,18%,4,8,7,1,7,16,8,Research & Development,2,Research Scientist,No,3,2,4,Non-Travel,47,Male,Married,4,Technical Degree,14,1934,10669,3
624,10670,"$10,527",No,11%,3,2,2,1,2,28,5,Research & Development,3,Healthcare Representative,No,1,3,2,Travel_Frequently,46,Female,Married,1,Medical,18,624,10670,3
1268,10671,"$8,380",Yes,14%,3,9,8,0,8,10,0,Sales,3,Sales Executive,No,4,3,3,Travel_Rarely,33,Male,Divorced,5,Marketing,10,1268,10671,3
981,10672,"$14,852",No,13%,3,17,13,15,2,22,6,Sales,4,Manager,No,3,3,4,Travel_Rarely,53,Male,Divorced,2,Medical,2,981,10672,3
1131,10673,"$2,070",Yes,11%,6,2,2,2,2,2,1,Research & Development,1,Research Scientist,No,4,2,4,Travel_Rarely,21,Female,Single,1,Technical Degree,1,1131,10673,3
787,10674,"$19,859",Yes,13%,2,5,2,1,4,24,5,Research & Development,5,Manager,Yes,4,1,3,Travel_Rarely,55,Male,Married,3,Medical,2,787,10674,3
1053,10675,"$2,042",Yes,14%,2,3,2,1,2,6,6,Research & Development,1,Research Scientist,Yes,1,1,3,Travel_Frequently,26,Male,Married,3,Life Sciences,2,1053,10675,3
207,10676,"$8,998",No,14%,2,9,8,3,7,9,1,Sales,3,Sales Executive,No,2,4,3,Travel_Frequently,32,Female,Single,3,Marketing,8,207,10676,3
230,10677,"$8,686",No,22%,2,8,3,0,7,12,4,Sales,2,Sales Executive,No,1,4,4,Travel_Rarely,38,Female,Single,4,Life Sciences,1,230,10677,4
1182,10678,"$10,274",No,18%,2,7,7,6,4,15,2,Research & Development,3,Manufacturing Director,No,3,2,4,Travel_Rarely,35,Male,Divorced,3,Life Sciences,2,1182,10678,3
1355,10679,"$6,893",No,15%,3,7,7,1,7,11,3,Sales,2,Sales Executive,No,2,1,3,Travel_Rarely,38,Female,Divorced,2,Life Sciences,2,1355,10679,3
171,10680,"$4,739",No,12%,2,3,2,1,2,18,4,Research & Development,1,Research Scientist,No,2,3,3,Travel_Frequently,43,Female,Single,3,Medical,28,171,10680,3
1525,10681,"$8,376",No,18%,3,2,0,2,2,9,4,Research & Development,3,Manufacturing Director,No,2,2,3,Travel_Rarely,39,Female,Single,3,Life Sciences,6,1525,10681,3
602,10682,"$3,755",No,11%,3,8,3,0,7,8,1,Research & Development,1,Laboratory Technician,No,3,3,3,Travel_Frequently,39,Female,Married,1,Life Sciences,8,602,10682,3
377,10683,"$2,070",No,23%,3,5,2,0,4,5,1,Research & Development,1,Research Scientist,No,4,4,2,Travel_Rarely,28,Male,Married,3,Medical,9,377,10683,4
1653,10684,"$5,206",No,17%,6,7,7,0,7,7,1,Research & Development,2,Manufacturing Director,No,4,3,3,Travel_Frequently,25,Male,Divorced,1,Life Sciences,2,1653,10684,3
1676,10685,"$15,972",No,14%,2,3,2,1,2,29,6,Sales,4,Manager,No,2,2,3,Travel_Rarely,47,Female,Divorced,4,Life Sciences,2,1676,10685,3
385,10686,"$19,144",No,14%,4,10,4,1,6,28,3,Research & Development,5,Research Director,No,1,2,2,Travel_Rarely,50,Male,Divorced,1,Life Sciences,4,385,10686,3
129,10687,"$4,221",No,15%,3,5,4,0,4,5,1,Sales,2,Sales Executive,No,2,3,4,Non-Travel,28,Male,Married,3,Medical,4,129,10687,3
441,10688,"$5,775",No,13%,2,10,8,1,9,11,1,Research & Development,2,Research Scientist,No,4,4,3,Travel_Rarely,30,Female,Married,2,Medical,28,441,10688,3
1833,10689,"$9,637",No,14%,3,3,2,2,2,9,2,Sales,3,Sales Executive,No,1,1,3,Travel_Frequently,31,Female,Married,4,Marketing,7,1833,10689,3
550,10690,"$4,810",No,14%,5,10,7,0,8,19,2,Research & Development,2,Manufacturing Director,No,3,3,2,Travel_Rarely,46,Female,Divorced,3,Medical,18,550,10690,3
595,10691,"$4,051",No,14%,2,9,7,6,7,14,2,Sales,2,Sales Executive,No,2,4,3,Travel_Rarely,48,Female,Married,5,Marketing,2,595,10691,3
1407,10692,"$3,904",No,12%,2,4,3,1,1,5,0,Research & Development,1,Research Scientist,No,1,4,3,Travel_Rarely,26,Male,Single,1,Medical,2,1407,10692,3
353,10693,"$2,723",No,11%,0,1,0,0,0,1,1,Research & Development,1,Research Scientist,No,3,4,2,Travel_Rarely,51,Male,Married,3,Life Sciences,1,353,10693,3
116,10694,"$2,075",No,23%,4,4,2,0,3,10,3,Research & Development,1,Laboratory Technician,No,4,4,3,Travel_Rarely,51,Male,Married,4,Life Sciences,9,116,10694,4
1138,10695,"$13,120",No,17%,3,9,8,2,3,22,6,Sales,4,Sales Executive,No,4,2,3,Travel_Rarely,49,Male,Married,4,Technical Degree,8,1138,10695,3
36,10696,"$10,248",No,14%,4,22,6,5,17,24,3,Research & Development,3,Healthcare Representative,No,1,4,3,Travel_Rarely,44,Female,Married,4,Medical,7,36,10696,3
643,10697,"$2,127",No,21%,2,1,0,0,0,1,1,Research & Development,1,Laboratory Technician,No,4,2,3,Travel_Rarely,24,Male,Married,2,Other,17,643,10697,4
986,10698,"$13,194",Yes,16%,2,1,0,0,0,22,4,Sales,4,Sales Executive,Yes,2,2,2,Non-Travel,40,Female,Single,3,Life Sciences,24,986,10698,3
96,10699,"$6,220",No,17%,3,10,4,0,9,10,1,Research & Development,2,Research Scientist,No,2,2,3,Travel_Rarely,32,Male,Married,3,Life Sciences,1,96,10699,3
830,10700,"$6,162",No,12%,3,14,13,6,8,14,1,Research & Development,2,Manufacturing Director,No,3,3,3,Travel_Rarely,32,Female,Married,3,Life Sciences,4,830,10700,3
741,10701,"$2,216",Yes,13%,4,7,7,3,7,10,7,Research & Development,1,Research Scientist,Yes,1,2,3,Travel_Rarely,28,Female,Single,2,Life Sciences,1,741,10701,3
330,10702,"$3,931",No,11%,5,4,3,1,2,6,2,Sales,1,Sales Representative,No,3,2,3,Travel_Rarely,32,Female,Married,2,Life Sciences,4,330,10702,3
913,10703,"$2,559",Yes,13%,0,8,7,7,1,8,1,Research & Development,1,Research Scientist,No,2,1,3,Travel_Rarely,44,Male,Married,2,Life Sciences,9,913,10703,3
1188,10704,"$5,346",No,13%,2,4,3,1,3,7,8,Sales,2,Sales Executive,Yes,1,3,2,Travel_Rarely,43,Female,Single,3,Marketing,9,1188,10704,3
282,10705,"$6,673",Yes,19%,2,1,0,0,0,17,7,Research & Development,2,Healthcare Representative,Yes,2,1,3,Travel_Rarely,38,Male,Married,1,Medical,29,282,10705,3
197,10706,"$3,204",No,14%,3,3,2,2,2,8,5,Research & Development,1,Research Scientist,No,4,1,3,Travel_Rarely,30,Female,Divorced,3,Technical Degree,5,197,10706,3
176,10707,"$8,189",Yes,13%,2,9,7,0,7,12,3,Sales,3,Sales Executive,No,3,3,3,Travel_Rarely,41,Male,Divorced,1,Life Sciences,9,176,10707,3
2034,10708,"$13,570",No,23%,3,20,7,0,10,21,0,Research & Development,4,Manufacturing Director,No,1,2,3,Travel_Rarely,41,Female,Married,4,Life Sciences,28,2034,10708,4
1029,10709,"$18,303",No,13%,3,1,0,0,0,21,6,Sales,5,Manager,No,4,3,4,Travel_Rarely,42,Male,Married,2,Marketing,5,1029,10709,3
715,10710,"$4,680",No,17%,2,1,0,0,0,4,3,Research & Development,1,Research Scientist,No,4,4,3,Travel_Rarely,37,Male,Single,2,Life Sciences,10,715,10710,3
827,10711,"$6,062",Yes,13%,4,4,3,0,2,8,9,Research & Development,2,Manufacturing Director,No,4,4,3,Travel_Rarely,42,Female,Married,2,Life Sciences,1,827,10711,3
700,10712,"$2,045",No,13%,0,4,2,1,1,5,0,Research & Development,1,Research Scientist,No,1,4,3,Travel_Rarely,27,Male,Single,4,Medical,3,700,10712,3
1474,10713,"$2,345",No,14%,3,3,1,1,2,8,2,Research & Development,1,Research Scientist,No,3,3,4,Travel_Rarely,40,Male,Divorced,3,Medical,2,1474,10713,3
634,10714,"$9,824",No,19%,4,1,0,0,0,18,3,Research & Development,2,Healthcare Representative,No,3,3,3,Travel_Rarely,38,Female,Married,3,Medical,10,634,10714,3
1900,10715,"$17,174",No,11%,3,22,17,4,7,24,3,Research & Development,4,Manager,No,4,4,3,Travel_Frequently,48,Female,Divorced,3,Medical,22,1900,10715,3
194,10716,"$2,632",No,14%,4,5,4,0,4,5,1,Research & Development,1,Research Scientist,No,1,3,2,Travel_Rarely,30,Female,Single,3,Life Sciences,18,194,10716,3
1275,10717,"$2,875",Yes,20%,2,8,5,2,2,8,1,Research & Development,1,Research Scientist,No,3,4,2,Travel_Rarely,26,Male,Single,2,Life Sciences,4,1275,10717,4
786,10718,"$6,274",No,22%,5,6,5,1,4,6,1,Sales,2,Sales Executive,No,4,4,3,Travel_Rarely,34,Male,Single,3,Other,2,786,10718,4
684,10719,"$4,286",No,14%,4,1,1,0,0,5,2,Sales,2,Sales Executive,Yes,1,1,3,Travel_Frequently,45,Female,Married,4,Life Sciences,26,684,10719,3
1681,10720,"$5,368",Yes,25%,2,6,5,1,2,7,1,Sales,2,Sales Executive,No,3,4,3,Non-Travel,33,Female,Divorced,3,Life Sciences,16,1681,10720,4
1506,10721,"$1,563",No,14%,2,1,0,0,0,1,1,Research & Development,1,Research Scientist,No,1,3,1,Travel_Rarely,28,Male,Divorced,3,Life Sciences,1,1506,10721,3
1940,10722,"$4,771",No,19%,0,5,2,0,3,10,2,Research & Development,1,Research Scientist,No,2,4,4,Travel_Rarely,38,Male,Divorced,2,Life Sciences,9,1940,10722,3
1989,10723,"$3,748",No,13%,6,12,8,1,7,12,1,Research & Development,1,Laboratory Technician,No,4,2,2,Travel_Rarely,30,Male,Married,2,Medical,1,1989,10723,3
53,10724,"$1,951",No,12%,3,1,0,0,0,1,1,Research & Development,1,Laboratory Technician,No,3,4,3,Travel_Rarely,35,Male,Divorced,2,Other,4,53,10724,3
284,10725,"$2,328",Yes,16%,2,4,2,2,2,4,1,Research & Development,1,Research Scientist,No,4,2,2,Travel_Rarely,22,Male,Divorced,3,Life Sciences,5,284,10725,3
128,10726,"$4,999",No,21%,2,3,2,0,2,4,0,Sales,2,Sales Executive,No,1,3,2,Travel_Rarely,24,Female,Married,2,Other,3,128,10726,4
1661,10727,"$13,966",Yes,19%,3,15,11,2,12,30,2,Research & Development,4,Healthcare Representative,No,3,3,3,Travel_Rarely,49,Female,Married,1,Life Sciences,6,1661,10727,3
1635,10728,"$5,770",No,19%,3,10,7,3,9,10,1,Research & Development,2,Manufacturing Director,No,4,4,3,Travel_Rarely,45,Female,Divorced,2,Other,2,1635,10728,3
49,10729,"$2,014",No,13%,3,2,2,2,2,2,1,Sales,1,Sales Representative,No,4,4,3,Travel_Rarely,35,Female,Married,3,Marketing,2,49,10729,3
1716,10730,"$12,936",No,11%,3,23,5,14,10,25,7,Sales,4,Sales Executive,Yes,3,3,1,Travel_Frequently,47,Male,Married,3,Life Sciences,9,1716,10730,3
303,10731,"$5,940",No,14%,4,6,2,0,5,16,2,Sales,2,Sales Executive,No,4,1,3,Travel_Rarely,54,Female,Married,3,Marketing,3,303,10731,3
158,10732,"$16,959",Yes,12%,3,25,12,4,12,25,1,Sales,4,Manager,No,3,4,4,Travel_Frequently,43,Male,Married,2,Life Sciences,26,158,10732,3
970,10733,"$10,609",No,11%,2,14,1,11,7,17,5,Sales,3,Sales Executive,Yes,1,3,1,Travel_Rarely,37,Male,Married,4,Life Sciences,1,970,10733,3
2031,10734,"$18,880",No,11%,2,22,6,4,14,24,5,Research & Development,5,Manager,No,1,3,2,Travel_Rarely,42,Male,Married,3,Life Sciences,2,2031,10734,3
679,10735,"$6,322",Yes,12%,2,6,4,0,5,6,1,Research & Development,2,Research Scientist,No,1,4,2,Travel_Rarely,32,Female,Married,4,Life Sciences,9,679,10735,3
1987,10736,"$2,187",No,14%,3,2,0,1,2,6,4,Human Resources,1,Human Resources,No,3,2,3,Travel_Rarely,25,Female,Married,3,Human Resources,2,1987,10736,3
1656,10737,"$13,269",No,15%,3,14,11,1,11,19,5,Research & Development,3,Research Director,No,4,1,3,Travel_Rarely,50,Female,Divorced,5,Life Sciences,17,1656,10737,3
605,10738,"$7,406",Yes,21%,5,10,9,5,8,10,1,Research & Development,3,Manufacturing Director,No,4,1,2,Travel_Rarely,42,Male,Married,3,Medical,24,605,10738,4
1306,10739,"$18,061",No,22%,4,0,0,0,0,22,3,Research & Development,5,Manager,No,2,2,3,Travel_Frequently,45,Female,Single,3,Medical,25,1306,10739,4
94,10740,"$2,703",No,23%,3,5,4,0,4,6,0,Research & Development,1,Research Scientist,No,3,2,3,Travel_Rarely,29,Male,Married,3,Life Sciences,2,94,10740,4
1439,10741,"$4,400",No,12%,2,3,2,2,2,6,3,Sales,1,Sales Representative,Yes,1,1,3,Travel_Rarely,25,Male,Married,2,Life Sciences,9,1439,10741,3
1150,10742,"$5,056",Yes,15%,2,10,7,1,2,10,1,Research & Development,2,Manufacturing Director,No,2,4,2,Travel_Rarely,29,Male,Married,1,Medical,8,1150,10742,3
912,10743,"$2,532",No,14%,5,4,3,0,3,8,6,Research & Development,1,Laboratory Technician,No,1,4,3,Travel_Rarely,29,Female,Divorced,1,Medical,7,912,10743,3
462,10744,"$7,143",Yes,14%,2,11,9,4,10,11,1,Research & Development,3,Manufacturing Director,No,3,4,2,Travel_Rarely,31,Female,Single,4,Medical,7,462,10744,3
2013,10745,"$2,269",No,14%,2,2,2,2,2,3,0,Sales,1,Sales Representative,No,2,2,3,Travel_Rarely,32,Male,Married,4,Medical,1,2013,10745,3
1392,10746,"$5,467",Yes,14%,4,6,2,3,3,12,3,Research & Development,2,Research Scientist,No,4,4,2,Travel_Frequently,41,Female,Divorced,3,Life Sciences,22,1392,10746,3
625,10747,"$16,595",No,16%,2,18,16,11,8,22,7,Sales,4,Manager,No,2,1,3,Travel_Rarely,41,Female,Married,5,Life Sciences,2,625,10747,3
1994,10748,"$2,008",No,12%,2,1,1,0,0,1,1,Research & Development,1,Laboratory Technician,No,2,3,2,Non-Travel,33,Male,Divorced,2,Medical,1,1994,10748,3
990,10749,"$5,079",No,13%,3,7,7,0,7,12,4,Sales,2,Sales Executive,No,1,4,3,Non-Travel,36,Male,Divorced,4,Technical Degree,8,990,10749,3
834,10750,"$2,274",No,14%,3,1,0,0,0,1,1,Research & Development,1,Research Scientist,No,2,3,3,Travel_Rarely,45,Female,Single,3,Life Sciences,2,834,10750,3
1842,10751,"$2,956",No,17%,4,1,0,0,0,2,0,Human Resources,1,Human Resources,Yes,4,1,3,Travel_Rarely,31,Male,Married,5,Human Resources,18,1842,10751,3
1468,10752,"$13,757",No,11%,5,9,8,4,8,16,2,Research & Development,3,Research Director,No,4,2,3,Non-Travel,40,Male,Divorced,1,Medical,8,1468,10752,3
1813,10753,"$2,438",No,13%,2,3,2,1,2,7,4,Research & Development,1,Research Scientist,No,1,3,2,Non-Travel,43,Male,Single,3,Life Sciences,9,1813,10753,3
399,10754,"$2,789",No,11%,5,2,2,2,2,2,1,Sales,1,Sales Representative,No,4,2,2,Travel_Frequently,31,Female,Divorced,3,Marketing,5,399,10754,3
1428,10755,"$4,779",No,14%,3,3,2,0,2,8,7,Sales,2,Sales Executive,No,4,1,3,Travel_Rarely,30,Female,Divorced,4,Marketing,7,1428,10755,3
1882,10756,"$9,713",Yes,13%,3,5,3,1,0,9,2,Sales,3,Sales Executive,No,3,4,3,Travel_Rarely,34,Male,Married,3,Life Sciences,4,1882,10756,3
1992,10757,"$3,977",Yes,19%,2,2,2,0,2,7,6,Research & Development,1,Laboratory Technician,No,4,3,2,Travel_Rarely,25,Male,Divorced,1,Other,2,1992,10757,3
1379,10758,"$2,785",No,14%,3,1,0,0,0,3,7,Sales,1,Sales Representative,Yes,3,4,4,Travel_Frequently,31,Female,Single,3,Life Sciences,2,1379,10758,3
1522,10759,"$2,362",No,13%,2,9,7,0,7,11,6,Research & Development,1,Research Scientist,Yes,1,1,1,Travel_Rarely,29,Male,Single,4,Technical Degree,1,1522,10759,3
325,10760,"$2,436",Yes,13%,2,5,4,0,4,8,5,Research & Development,1,Laboratory Technician,Yes,3,4,1,Travel_Rarely,33,Male,Married,3,Medical,14,325,10760,3
974,10761,"$2,157",No,15%,5,3,1,0,2,3,1,Sales,1,Sales Representative,No,3,4,3,Travel_Frequently,29,Female,Married,3,Technical Degree,20,974,10761,3
150,10762,"$2,774",No,12%,2,5,3,1,2,6,0,Research & Development,1,Laboratory Technician,No,2,3,3,Travel_Rarely,24,Male,Married,1,Life Sciences,18,150,10762,3
14,10763,"$2,426",No,13%,5,5,4,0,3,6,0,Research & Development,1,Laboratory Technician,No,1,2,3,Travel_Rarely,35,Male,Married,3,Medical,16,14,10763,3
1485,10764,"$17,007",No,14%,3,14,8,6,9,16,7,Research & Development,4,Research Director,No,2,1,2,Travel_Frequently,34,Male,Divorced,3,Medical,15,1485,10764,3
1692,10765,"$1,393",No,12%,2,1,0,0,0,1,1,Research & Development,1,Laboratory Technician,Yes,4,2,3,Travel_Rarely,32,Male,Single,4,Life Sciences,2,1692,10765,3
1970,10766,"$5,968",No,20%,2,9,7,2,8,9,1,Research & Development,2,Healthcare Representative,No,4,3,3,Travel_Frequently,33,Male,Divorced,2,Life Sciences,7,1970,10766,4
1084,10767,"$9,957",No,15%,1,6,2,0,2,7,0,Research & Development,2,Manufacturing Director,No,3,1,2,Travel_Rarely,30,Male,Married,3,Other,20,1084,10767,3
1845,10768,"$5,154",No,22%,3,8,7,5,7,10,4,Sales,2,Sales Executive,No,3,3,4,Non-Travel,45,Female,Married,4,Life Sciences,2,1845,10768,4
1658,10769,"$5,433",No,12%,2,11,8,7,9,11,1,Research & Development,2,Research Scientist,No,4,2,3,Travel_Rarely,34,Female,Divorced,3,Life Sciences,3,1658,10769,3
1864,10770,"$3,540",No,21%,5,9,8,5,8,9,1,Sales,2,Sales Representative,No,2,3,3,Travel_Rarely,27,Female,Married,1,Medical,23,1864,10770,4
1436,10771,"$5,647",No,13%,3,3,2,0,2,11,4,Sales,2,Sales Executive,No,3,1,2,Travel_Rarely,36,Female,Married,4,Marketing,16,1436,10771,3
254,10772,"$18,722",No,11%,3,24,15,2,15,36,8,Research & Development,5,Research Director,No,3,2,3,Travel_Rarely,55,Male,Single,4,Medical,14,254,10772,3
1191,10773,"$19,943",No,13%,2,5,2,4,2,28,4,Research & Development,5,Manager,No,4,1,3,Travel_Rarely,56,Female,Divorced,4,Technical Degree,4,1191,10773,3
511,10774,"$2,244",No,13%,1,2,1,1,2,2,1,Research & Development,1,Research Scientist,No,1,2,3,Travel_Rarely,22,Female,Married,3,Medical,11,511,10774,3
430,10775,"$2,455",No,19%,5,8,7,1,7,9,0,Research & Development,1,Laboratory Technician,No,3,4,3,Travel_Frequently,43,Female,Single,4,Life Sciences,10,430,10775,3
142,10776,"$5,744",Yes,11%,1,6,4,0,3,6,1,Sales,2,Sales Executive,Yes,3,3,3,Travel_Rarely,25,Male,Single,3,Marketing,5,142,10776,3
1501,10777,"$4,035",Yes,16%,2,3,2,1,2,4,0,Research & Development,2,Healthcare Representative,No,4,3,3,Travel_Rarely,55,Male,Married,4,Life Sciences,4,1501,10777,3
1706,10778,"$7,847",Yes,17%,3,10,9,8,8,10,1,Sales,2,Sales Executive,No,4,4,3,Travel_Rarely,43,Male,Married,3,Medical,2,1706,10778,3
957,10779,"$4,721",Yes,13%,3,18,13,2,17,20,2,Research & Development,1,Laboratory Technician,No,4,1,3,Travel_Rarely,41,Male,Single,3,Medical,6,957,10779,3
1822,10780,"$6,513",No,17%,3,5,3,0,3,12,4,Research & Development,2,Healthcare Representative,No,3,4,3,Travel_Rarely,40,Female,Divorced,3,Life Sciences,1,1822,10780,3
438,10781,"$7,547",No,12%,3,7,7,1,7,13,4,Sales,2,Sales Executive,No,4,4,3,Travel_Rarely,31,Male,Divorced,3,Marketing,7,438,10781,3
1152,10782,"$2,844",No,13%,2,7,6,5,0,7,1,Human Resources,1,Human Resources,No,3,3,4,Travel_Rarely,38,Male,Married,3,Human Resources,1,1152,10782,3
1549,10783,"$5,207",Yes,12%,3,15,14,5,7,15,1,Research & Development,2,Laboratory Technician,No,2,3,3,Travel_Rarely,33,Male,Married,4,Life Sciences,28,1549,10783,3
1878,10784,"$2,472",Yes,23%,2,1,0,0,0,1,1,Research & Development,1,Research Scientist,Yes,4,2,3,Travel_Rarely,22,Male,Single,1,Life Sciences,7,1878,10784,4
18,10785,"$2,661",No,11%,2,2,2,1,2,3,0,Research & Development,1,Laboratory Technician,No,2,4,3,Travel_Rarely,34,Male,Divorced,2,Medical,19,18,10785,3
154,10786,"$9,738",No,14%,6,9,7,2,8,10,0,Sales,3,Sales Executive,No,2,4,3,Travel_Frequently,36,Female,Married,2,Technical Degree,11,154,10786,3
805,10787,"$2,572",No,16%,1,3,2,0,2,3,1,Sales,1,Sales Representative,No,1,4,2,Travel_Rarely,35,Female,Married,4,Life Sciences,8,805,10787,3
996,10788,"$2,270",No,14%,2,5,3,0,2,8,3,Research & Development,1,Laboratory Technician,No,4,4,3,Travel_Rarely,45,Female,Divorced,4,Medical,1,996,10788,3
419,10789,"$5,674",No,15%,3,9,8,0,8,11,7,Research & Development,2,Laboratory Technician,No,2,2,3,Non-Travel,36,Female,Married,4,Life Sciences,24,419,10789,3
260,10790,"$2,279",No,16%,2,7,7,0,3,7,1,Research & Development,1,Research Scientist,No,4,2,2,Travel_Rarely,27,Female,Single,3,Medical,9,260,10790,3
2000,10791,"$11,957",No,18%,3,13,8,5,12,14,0,Research & Development,3,Research Director,No,3,2,1,Non-Travel,47,Female,Married,1,Medical,1,2000,10791,3
1550,10792,"$16,437",Yes,21%,2,21,7,7,7,21,1,Human Resources,4,Manager,No,3,4,3,Travel_Rarely,40,Male,Single,2,Medical,6,1550,10792,4
2003,10793,"$2,660",Yes,11%,3,2,2,2,2,5,7,Research & Development,1,Laboratory Technician,No,4,3,3,Travel_Rarely,35,Male,Married,4,Medical,11,2003,10793,3
256,10794,"$9,547",No,17%,2,10,9,1,9,10,1,Research & Development,2,Manufacturing Director,No,4,3,2,Travel_Frequently,34,Male,Married,1,Life Sciences,2,256,10794,3
147,10795,"$6,074",Yes,24%,3,9,7,0,6,9,1,Research & Development,2,Laboratory Technician,Yes,1,3,3,Travel_Frequently,34,Male,Single,3,Life Sciences,7,147,10795,4
991,10796,"$2,321",Yes,22%,0,3,2,1,2,4,0,Research & Development,1,Research Scientist,Yes,3,1,3,Non-Travel,31,Male,Single,2,Medical,9,991,10796,4
440,10797,"$3,464",Yes,13%,4,3,2,2,2,5,5,Research & Development,1,Research Scientist,Yes,1,4,2,Travel_Rarely,28,Male,Married,4,Medical,2,440,10797,3
889,10798,"$6,524",No,14%,3,10,8,5,3,10,1,Sales,2,Sales Executive,No,2,2,3,Travel_Frequently,32,Male,Married,2,Life Sciences,5,889,10798,3
74,10799,"$9,069",No,22%,3,9,8,1,8,9,1,Sales,3,Sales Executive,No,2,1,2,Travel_Frequently,35,Male,Married,5,Life Sciences,18,74,10799,4
1694,10800,"$3,537",No,12%,1,4,2,1,2,8,5,Research & Development,1,Research Scientist,No,1,2,3,Travel_Rarely,55,Male,Divorced,3,Technical Degree,22,1694,10800,3
2008,10801,"$5,098",No,19%,5,10,7,0,8,10,1,Research & Development,2,Research Scientist,No,2,3,3,Travel_Rarely,35,Male,Single,4,Medical,9,2008,10801,3
977,10802,"$2,479",No,24%,4,1,0,0,0,7,4,Research & Development,1,Research Scientist,Yes,4,3,3,Travel_Rarely,58,Male,Single,3,Technical Degree,2,977,10802,4
888,10803,"$3,162",No,17%,2,5,2,3,4,6,0,Research & Development,1,Laboratory Technician,No,1,4,2,Non-Travel,24,Male,Married,1,Life Sciences,4,888,10803,3
1030,10804,"$2,380",No,18%,5,1,0,0,0,8,4,Research & Development,1,Laboratory Technician,No,1,4,3,Travel_Rarely,50,Male,Married,3,Life Sciences,9,1030,10804,3
